e0000,b0004,b0011,e0000,b0010,b0017,e0000,e0000,e0000,b0034,b0015,e0000
b0300,w0000,w0000,b1418,w0000,w0000,e0000,e0000,b1400,w0000,w0000,e0000
b3000,w0000,w0000,w0000,w0000,w0000,e0000,e0000,b0808,w0000,w0000,e0000
e0000,e0000,b0932,w0000,w0000,e0000,b0018,b1106,w0000,w0000,e0000,e0000
e0000,b1205,w0000,w0000,e0000,b1622,w0000,w0000,w0000,w0000,b0011,e0000
b0700,w0000,w0000,e0000,b2215,w0000,w0000,w0000,b1300,w0000,w0000,e0000
b1000,w0000,w0000,b2112,w0000,w0000,w0000,e0000,b0321,w0000,w0000,e0000
e0000,b2300,w0000,w0000,w0000,w0000,e0000,b1615,w0000,w0000,e0000,e0000
e0000,b0406,w0000,w0000,e0000,e0000,b1616,w0000,w0000,b0011,b0017,e0000
b1000,w0000,w0000,e0000,e0000,b3500,w0000,w0000,w0000,w0000,w0000,e0000
b0500,w0000,w0000,e0000,e0000,b0900,w0000,w0000,b1300,w0000,w0000,e0000
e0000,e0000,e0000,e0000,e0000,e0000,e0000,e0000,e0000,e0000,e0000,e0000
