e0000,b0023,b0045,b0005,e0000,e0000,e0000,e0000,b0019,b0004,e0000,e0000,b0007,b0014,e0000
b1500,w0000,w0000,w0000,e0000,b0025,b0039,b0300,w0000,w0000,e0000,b0435,w0000,w0000,e0000
b1000,w0000,w0000,w0000,b0400,w0000,w0000,b1115,w0000,w0000,b1800,w0000,w0000,w0000,e0000
b1500,w0000,w0000,b0016,b2800,w0000,w0000,w0000,w0000,e0000,b0916,w0000,w0000,w0000,e0000
e0000,b1314,w0000,w0000,b2523,w0000,w0000,w0000,w0000,b1510,w0000,w0000,b0045,b0013,e0000
b3700,w0000,w0000,w0000,w0000,w0000,w0000,b0020,b2134,w0000,w0000,w0000,w0000,w0000,e0000
b1600,w0000,w0000,b3428,w0000,w0000,w0000,w0000,w0000,w0000,b2308,w0000,w0000,w0000,e0000
e0000,b2417,w0000,w0000,w0000,b1313,w0000,w0000,w0000,b1516,w0000,w0000,w0000,b0005,e0000
b2100,w0000,w0000,w0000,b3014,w0000,w0000,w0000,w0000,w0000,w0000,b1304,w0000,w0000,e0000
b3200,w0000,w0000,w0000,w0000,w0000,b0016,b2809,w0000,w0000,w0000,w0000,w0000,w0000,e0000
e0000,b0014,b0723,w0000,w0000,b2200,w0000,w0000,w0000,w0000,b0400,w0000,w0000,b0009,e0000
b2400,w0000,w0000,w0000,e0000,b1103,w0000,w0000,w0000,w0000,e0000,b0404,w0000,w0000,e0000
b1100,w0000,w0000,w0000,b0700,w0000,w0000,b0400,w0000,w0000,b0600,w0000,w0000,w0000,e0000
b1200,w0000,w0000,e0000,b0400,w0000,w0000,e0000,e0000,e0000,b1200,w0000,w0000,w0000,e0000
e0000,e0000,e0000,e0000,e0000,e0000,e0000,e0000,e0000,e0000,e0000,e0000,e0000,e0000,e0000
